Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,Global,178503429,2290.108471,2504100,32.12633311,281610,3872457,49.68165949,60068,0.770641978,6349,
United States of America,Americas,33190195,10027.17,49697,15.01,0,596003,180.06,1359,0.41,0,Community transmission
India,South-East Asia,29977861,2172.3,406980,29.49,42640,389302,28.21,12271,0.89,1167,Clusters of cases
Brazil,Americas,17927928,8434.31,515162,242.36,44178,501825,236.09,14424,6.79,1025,Community transmission
France,Europe,5650315,8687.53,14066,21.63,290,109879,168.94,307,0.47,39,Community transmission
Turkey,Europe,5375593,6373.79,39520,46.86,5294,49236,58.38,441,0.52,51,Community transmission
Russian Federation,Europe,5350919,3666.66,114326,78.34,16715,130347,89.32,3167,2.17,546,Clusters of cases
The United Kingdom,Europe,4640511,6835.74,67088,98.82,10467,127981,188.52,74,0.11,5,Community transmission
Argentina,Americas,4268789,9445.11,144599,319.94,10395,89043,197.02,3700,8.19,301,Community transmission
Italy,Europe,4253460,7131.71,7681,12.88,484,127291,213.43,253,0.42,21,Clusters of cases
Colombia,Americas,3945166,7753.42,191942,377.22,27818,99934,196.4,4156,8.17,599,Community transmission
Spain,Europe,3764651,7953.61,19840,41.92,786,80689,170.47,58,0.12,4,Community transmission
Germany,Europe,3722782,4476.29,6612,7.95,455,90472,108.78,535,0.64,77,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3105620,3697.48,66188,78.8,10485,83101,98.94,884,1.05,136,Community transmission
Poland,Europe,2879030,7584.75,1211,3.19,190,74858,197.21,232,0.61,29,Community transmission
Mexico,Americas,2477283,1921.38,23107,17.92,1578,231187,179.31,1037,0.8,36,Community transmission
Ukraine,Europe,2230142,5099.36,5150,11.78,296,52053,119.02,284,0.65,21,Community transmission
Peru,Americas,2029625,6155.63,26000,78.86,2896,190425,577.54,1717,5.21,223,Community transmission
Indonesia,South-East Asia,2018113,737.82,90405,33.05,13668,55291,20.21,2011,0.74,335,Community transmission
South Africa,Africa,1832479,3089.73,79849,134.63,9160,58795,99.13,911,1.54,93,Community transmission
Netherlands,Europe,1679542,9648.33,6049,34.75,585,17727,101.83,15,0.09,1,Community transmission
Czechia,Europe,1666192,15580.71,865,8.09,110,30283,283.18,54,0.5,3,Community transmission
Chile,Americas,1522223,7963,39560,206.94,5205,31645,165.54,841,4.4,132,Community transmission
Canada,Americas,1408835,3732.79,6709,17.78,712,26076,69.09,145,0.38,22,Community transmission
Philippines,Western Pacific,1364239,1244.96,42197,38.51,5249,23749,21.67,904,0.82,128,Community transmission
Iraq,Eastern Mediterranean,1292700,3213.87,33017,82.09,5235,16910,42.04,174,0.43,25,Community transmission
Sweden,Europe,1084636,10502.32,0,0,0,14574,141.12,0,0,0,Community transmission
Romania,Europe,1080323,5589.18,547,2.83,41,32465,167.96,36,0.19,4,Community transmission
Belgium,Europe,1079640,9369.89,2139,18.56,0,25141,218.19,36,0.31,0,Community transmission
Pakistan,Eastern Mediterranean,949175,429.7,6986,3.16,907,22007,9.96,284,0.13,30,Community transmission
Portugal,Europe,865806,8409.22,7734,75.12,756,17068,165.77,21,0.2,3,Clusters of cases
Bangladesh,South-East Asia,861150,522.89,27859,16.92,4846,13702,8.32,480,0.29,76,Community transmission
Israel,Europe,840032,9705.14,343,3.96,146,6428,74.26,1,0.01,1,Community transmission
Hungary,Europe,807684,8267.38,582,5.96,54,29879,305.84,28,0.29,4,Community transmission
Japan,Western Pacific,786298,621.7,9991,7.9,1011,14454,11.43,328,0.26,31,Clusters of cases
Jordan,Eastern Mediterranean,747000,7321.28,3123,30.61,520,9671,94.78,69,0.68,8,Community transmission
Serbia,Europe,715841,10334.51,826,11.92,88,7004,101.12,34,0.49,3,Community transmission
Malaysia,Western Pacific,701019,2165.91,38562,119.14,4611,4477,13.83,509,1.57,69,Community transmission
Switzerland,Europe,698872,8075.13,875,10.11,1,10270,118.66,9,0.1,0,Community transmission
Austria,Europe,645609,7253.17,968,10.88,77,10419,117.05,18,0.2,2,Community transmission
Nepal,South-East Asia,626343,2149.66,14141,48.53,3703,8813,30.25,307,1.05,41,Community transmission
United Arab Emirates,Eastern Mediterranean,613993,6207.97,14170,143.27,1964,1763,17.83,33,0.33,6,Community transmission
Lebanon,Eastern Mediterranean,543551,7963.6,902,13.22,46,7825,114.64,24,0.35,3,Community transmission
Morocco,Eastern Mediterranean,526737,1427.06,2738,7.42,86,9244,25.04,31,0.08,6,Community transmission
Saudi Arabia,Eastern Mediterranean,475403,1365.56,8497,24.41,1212,7691,22.09,101,0.29,14,Community transmission
Kazakhstan,Europe,466125,2482.46,5785,30.81,0,7666,40.83,80,0.43,0,Clusters of cases
Ecuador,Americas,446633,2531.49,7494,42.48,192,21304,120.75,253,1.43,11,Community transmission
